iso_code,Human_Development,literacy_rate,Continent,country,Income Classification,year,co2,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_unit_energy,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,population,gdp,primary_energy_consumption,Field_1,Life_expectancy,total_population,Human_Development2,clean_water,coal_co2,cement_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cumulative_co2_per_capita,share_oil_per_capita,share_cement_per_capita,share_coal_per_capita,share_flaring_per_capita,share_gas_per_capita,share_co2_per_capita,gdp_per_capita,difference_co2,share tot,share coal,share cement,share gas,share oil,share other
ETH,0.18,29.8203392,Africa,Ethiopia,Low income,2005,4.956,0.065,0.102,0.02,101.433,0.01,0.175,7.1,,,,93.946,,0.03,,,,0.02,,76346310,61634774135,28.335,26,56.223,76346310,,,,0.622,,,4.335,,1.32859073346177e-06,2.61964199710503e-10,3.92946299565755e-10,,,,1.30982099855252e-10,807.305214030645,-0.202999999999999,,,,,,
ETH,0.19,38.99597931,Africa,Ethiopia,Low income,2007,5.84,0.072,0.106,0.02,112.591,0.01,0.169,8.409,,,,103.795,,0.03,,,,0.02,,80674343,73421793815,34.597,28,58.467,80674343,,,,0.629,,,5.21,,1.39562338921062e-06,2.47910292867213e-10,3.7186543930082e-10,,,,1.23955146433607e-10,910.100920375639,0.522,,,,,,
ETH,0.485,39.12187481,Africa,Ethiopia,,2020,14.665,0.128,,0.04,258.571,0.02,,36.82,12.094,,,209.657,,0.09,0,,,0.04,,114963583,,,41,,,,49.61557274,1.453,3.604,,,9.608,,2.24915571742401e-06,3.47936267783164e-10,7.82856602512119e-10,0,,,1.73968133891582e-10,,-1.706,,,,,,
ETH,0.22,39.12187481,Africa,Ethiopia,Low income,2010,6.337,0.072,0.113,0.02,131.799,0.01,0.152,10.396,0.67,,,120.733,,0.04,0,,,0.03,,87639962,94148634218,41.744,31,61.627,87639962,,,0.132,0.632,,,5.573,,1.50386874882488e-06,3.42309596163449e-10,4.56412794884598e-10,0,,,1.1410319872115e-10,1074.26603195013,-0.116000000000001,,,,,,
ETH,0.26,39.12187481,Africa,Ethiopia,Low income,2015,12.694,0.126,0.179,0.04,181.801,0.01,0.168,19.306,4.652,,,157.843,,0.05,0,,,0.03,,100835453,152000000000,75.334,36,65.048,100835453,,42.0700672,1.092,2.906,,,8.696,,1.80294722333424e-06,2.97514406961607e-10,4.95857344936012e-10,0,,,9.91714689872023e-11,1507.40632860548,0.677000000000001,,,,,,
ETH,0.267,35.90000153,Africa,Ethiopia,Low income,2004,5.159,0.07,0.094,0.02,96.477,0.01,0.209,6.478,,,,89.611,,0.03,,,,0.02,,74239508,55845388443,24.65,25,55.174,74239508,,,,0.524,,,4.635,,1.29953716826895e-06,2.69398337068721e-10,4.04097505603081e-10,,,,1.3469916853436e-10,752.232738975048,0.289,,,,,,
ETH,0.267,51.7711792,Africa,Ethiopia,Low income,2017,15.238,0.143,0.193,0.04,211.386,0.01,,26.009,7.595,,,177.783,,0.07,0,,,0.03,,106399926,182000000000,,38,65.872,106399926,,45.12944005,1.543,3.487,,,10.208,,1.98671190805151e-06,2.81955083314626e-10,6.57895194400793e-10,0,,,9.39850277715419e-11,1710.52750544206,0.891,,,,,,
ETH,0.267,39.12187481,Africa,Ethiopia,,2019,16.371,0.146,0.192,0.04,243.907,0.01,,33.217,10.641,,,200.049,,0.08,0,,,0.03,,112078727,,,40,,,,48.13405283,1.398,3.604,,,11.37,,2.17621136970979e-06,2.67668993064134e-10,7.13783981504358e-10,0,,,8.92229976880448e-11,,,,,,,,
ETH,0.267,39.12187481,Africa,Ethiopia,Low income,2001,4.265,0.063,0.086,0.02,82.017,0.01,0.207,5.142,,,,76.487,,0.03,,,,0.02,,68159422,52434132066,20.559,22,52.595,68159422,,,,0.362,,,3.902,,1.20331126047401e-06,2.93429718344736e-10,4.40144577517104e-10,,,,1.46714859172368e-10,769.286630188853,-10.4,,,,,,
ETH,0.267,39.12187481,Africa,Ethiopia,Low income,2002,4.432,0.063,0.084,0.02,86.448,0.01,0.209,5.503,,,,80.558,,0.03,,,,0.02,,70142090,54501778519,21.226,23,53.349,70142090,,,,0.361,,,4.071,,1.23246969116546e-06,2.85135501380127e-10,4.27703252070191e-10,,,,1.42567750690064e-10,777.019597206185,0.167000000000001,,,,,,
ETH,0.267,39.12187481,Africa,Ethiopia,Low income,2003,4.87,0.068,0.094,0.02,91.318,0.01,0.212,5.954,,,,84.976,,0.03,,,,0.02,,72170581,53892043622,22.98,24,54.211,72170581,,,,0.451,,,4.419,,1.26530781288847e-06,2.77121227553925e-10,4.15681841330888e-10,,,,1.38560613776963e-10,746.731464195917,0.438,,,,,,
ETH,0.267,39.12187481,Africa,Ethiopia,Low income,2006,5.318,0.068,0.109,0.02,106.751,0.01,0.171,7.779,,,,98.584,,0.03,,,,0.02,,78489205,67217116704,31.169,27,57.334,78489205,,,,0.68,,,4.639,,1.36007238192819e-06,2.54812110786445e-10,3.82218166179668e-10,,,,1.27406055393223e-10,856.386769416253,0.361999999999999,,,,,,
ETH,0.267,39.12187481,Africa,Ethiopia,Low income,2008,6.418,0.077,0.121,0.02,119.009,0.01,0.177,9.114,0.428,,,109.467,,0.04,0,,,0.02,,82916236,79756500425,36.286,29,59.581,82916236,,,0.04,0.705,,,5.672,,1.43529187697329e-06,2.41207282974109e-10,4.82414565948218e-10,0,,,1.20603641487054e-10,961.892438351881,0.578,,,,,,
ETH,0.267,39.12187481,Africa,Ethiopia,Low income,2009,6.453,0.076,0.132,0.02,125.462,0.01,0.171,9.764,0.538,,,115.16,,0.04,0,,,0.02,,85233923,86391036516,37.719,30,60.645,85233923,,,0.11,0.65,,,5.693,,1.47197260884026e-06,2.3464835708665e-10,4.69296714173299e-10,0,,,1.17324178543325e-10,1013.57573927461,3.50000000000001e-02,,,,,,
ETH,0.267,39.12187481,Africa,Ethiopia,Low income,2011,7.402,0.082,0.115,0.02,139.201,0.01,0.154,11.192,1.121,,,126.888,,0.04,0,,,0.03,,90139928,105000000000,48.025,32,62.505,90139928,,35.77622585,0.451,0.796,,,6.156,,1.54427680483614e-06,3.3281588598562e-10,4.43754514647493e-10,0,,,1.10938628661873e-10,1164.85560094967,1.065,,,,,,
ETH,0.267,39.12187481,Africa,Ethiopia,Low income,2012,8.109,0.087,0.149,0.02,147.31,0.01,0.151,12.549,1.714,,,133.047,,0.04,0,,,0.03,,92726982,116000000000,53.636,33,63.281,92726982,,37.37702642,0.594,1.357,,,6.158,,1.58864223576262e-06,3.23530426127748e-10,4.31373901503664e-10,0,,,1.07843475375916e-10,1250.98431436062,0.707,,,,,,
ETH,0.267,39.12187481,Africa,Ethiopia,Low income,2013,9.781,0.102,0.166,0.03,157.091,0.01,0.156,14.298,2.487,,,140.306,,0.04,0,,,0.03,,95385793,126000000000,62.576,34,63.961,95385793,,38.95491589,0.773,1.749,,,7.259,,1.64690144160148e-06,3.14512246074214e-10,4.19349661432285e-10,0,,,1.04837415358071e-10,1320.9514335117,1.672,,,,,,
ETH,0.267,39.12187481,Africa,Ethiopia,Low income,2014,12.017,0.122,0.18,0.03,169.108,0.01,0.169,16.4,3.561,,,149.147,,0.05,0,,,0.03,,98094264,139000000000,71.028,35,64.547,98094264,,40.51947671,1.074,2.102,,,8.841,,1.72393362368262e-06,3.05828279622955e-10,5.09713799371592e-10,0,,,1.01942759874318e-10,1417.00436225303,2.236,,,,,,
ETH,0.267,39.12187481,Africa,Ethiopia,Low income,2016,14.347,0.138,0.188,0.04,196.149,0.01,0.178,22.522,6.052,,,167.575,,0.06,0,,,0.03,,103603461,165000000000,80.515,37,65.482,103603461,,43.60707813,1.4,3.216,,,9.732,,1.89326686682793e-06,2.8956561595949e-10,5.7913123191898e-10,0,,,9.65218719864967e-11,1592.6108877772,1.653,,,,,,
ETH,0.267,39.12187481,Africa,Ethiopia,Low income,2018,16.149,0.148,0.197,0.04,227.536,0.01,,29.613,9.243,,,188.679,,0.07,0,,,0.03,,109224410,196000000000,,39,66.24,109224410,,46.63848073,1.649,3.604,,,10.897,,2.08319733656607e-06,2.74663877790688e-10,6.40882381511605e-10,0,,,9.15546259302293e-11,1794.47066823249,0.911000000000001,,,,,,
IND,0.645,66.861145975,Asia,India,,2020,2441.792,1.769,,7.02,54416.489,3.21,,2475.325,35250.945,166.235,2348.802,14175.181,,5.73,4.47,0.93,0.96,2.39,,1380004385,,,62,,,,90.48952503,1587.552,122.908,1.678,126.984,602.67,,3.9432113108829e-05,1.73187855486416e-09,4.15216071940235e-09,3.239120142361e-09,6.73910902101952e-10,6.9564996346008e-10,2.32607956531964e-09,,-184.176,,,,,,
IND,0.29,66.861145975,Asia,India,Low income,2005,1185.953,1.033,0.955,4.01,24326.352,2.06,0.258,918.974,16088.342,137.975,733.283,6447.777,,4.07,2.79,1.14,0.5,1.54,,1147609924,3710000000000,4600.812,47,64.5,1147609924,,,722.497,59.687,1.685,50.439,351.646,,2.11974047028196e-05,1.34191938200771e-09,3.54650122387753e-09,2.43113965961138e-09,9.93368893174542e-10,4.35688111041466e-10,1.79503501749084e-09,3232.80578392768,60.482,,,,,,
IND,0.31,66.861145975,Asia,India,Lower-middle income,2007,1358.152,1.148,1.08,4.31,26944.249,2.17,0.258,1052.213,17706.686,142.233,835.421,7207.696,,4.25,2.94,1.11,0.53,1.63,,1183209471,4360000000000,5258.09,49,65.35,1183209471,,,843.677,68.333,2.418,52.696,391.028,,2.27721715050403e-05,1.3776089863635e-09,3.59192527119317e-09,2.48476712877833e-09,9.38126364946922e-10,4.47934210289972e-10,1.83399478552686e-09,3684.89274880052,98.4080000000001,,,,,,
